,Unnamed: 0.1,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
2305,4497,GPU,16.0,120.0,314.0,7200.0,1506,NVIDIA,68.36,4375.0,136.7
2307,4499,GPU,14.0,75.0,123.0,3000.0,907,AMD,1858.0,1858.0,116.1
2310,4502,GPU,12.0,50.0,200.0,4700.0,1380,NVIDIA,6205.0,3103.0,96.96
2313,4505,GPU,14.0,185.0,232.0,5700.0,1257,AMD,6175.0,6175.0,385.9
2318,4510,GPU,14.0,75.0,123.0,3000.0,1175,AMD,2611.0,2611.0,163.2
2320,4512,GPU,14.0,150.0,232.0,5700.0,1000,AMD,3960.0,3960.0,247.5
2328,4520,GPU,14.0,35.0,210.0,4940.0,300,AMD,3523.0,1761.0,110.1
2332,4524,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
2343,4535,GPU,14.0,65.0,123.0,3000.0,1090,AMD,2106.0,2106.0,131.6
2349,4541,GPU,12.0,110.0,545.0,13600.0,1110,NVIDIA,15970.0,7987.0,249.6
2358,4550,GPU,16.0,150.0,314.0,7200.0,1556,NVIDIA,138.7,8878.0,277.4
2360,4552,GPU,14.0,15.0,210.0,4940.0,300,AMD,3584.0,1792.0,112.0
2365,4557,GPU,8.0,200.0,392.0,17400.0,1410,NVIDIA,16200.0,16200.0,253.1
2372,4564,GPU,28.0,150.0,366.0,5000.0,920,AMD,7537.0,3768.0,235.5
2374,4566,GPU,12.0,250.0,815.0,21100.0,1260,NVIDIA,28260.0,14130.0,7066.0
2384,4576,GPU,14.0,15.0,210.0,4940.0,300,AMD,3942.0,1971.0,123.2
2424,4616,GPU,16.0,150.0,314.0,7200.0,1506,NVIDIA,101.0,6463.0,202.0
2433,4625,GPU,14.0,75.0,132.0,3300.0,1354,NVIDIA,29.86,1911.0,59.72
2434,4626,GPU,14.0,65.0,103.0,2200.0,925,AMD,1248.0,1248.0,78.02
2440,4632,GPU,8.0,80.0,392.0,17400.0,780,NVIDIA,13210.0,13210.0,206.4
2441,4633,GPU,14.0,10.0,210.0,4940.0,300,AMD,3331.0,1665.0,104.1
2451,4643,GPU,16.0,120.0,314.0,7200.0,1442,NVIDIA,105.3,6738.0,210.6
2455,4647,GPU,7.0,300.0,331.0,13230.0,1200,AMD,26820.0,13410.0,6705.0
2456,4648,GPU,14.0,50.0,103.0,2200.0,1124,AMD,1240.0,1240.0,77.5
2458,4650,GPU,14.0,15.0,210.0,4940.0,300,AMD,845.6,422.8,26.42
2466,4658,GPU,12.0,250.0,815.0,21100.0,1245,NVIDIA,32710.0,16350.0,8177.0
2471,4663,GPU,14.0,75.0,132.0,3300.0,1000,NVIDIA,22.78,1458.0,45.56
2477,4669,GPU,14.0,295.0,495.0,12500.0,1247,AMD,25330.0,12660.0,791.6
2480,4672,GPU,14.0,35.0,210.0,4940.0,300,AMD,3523.0,1761.0,110.1
2491,4683,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1211.0,1211.0,75.71
2496,4688,GPU,28.0,190.0,366.0,5000.0,918,AMD,3290.0,3290.0,205.6
2500,4692,GPU,16.0,80.0,200.0,4400.0,1063,NVIDIA,59.2,3789.0,118.4
2503,4695,GPU,16.0,250.0,471.0,11800.0,1405,NVIDIA,189.8,12150.0,379.7
2505,4697,GPU,14.0,120.0,232.0,5700.0,926,AMD,4940.0,4940.0,308.7
2508,4700,GPU,8.0,350.0,628.0,28300.0,1365,NVIDIA,34100.0,34100.0,532.8
2532,4724,GPU,16.0,105.0,314.0,7200.0,1202,NVIDIA,82.88,5304.0,165.8
2536,4728,GPU,14.0,120.0,232.0,5700.0,926,AMD,4322.0,4322.0,270.1
2544,4736,GPU,14.0,75.0,132.0,3300.0,1152,NVIDIA,30.98,1983.0,61.97
2550,4742,GPU,12.0,50.0,200.0,4700.0,1395,NVIDIA,6390.0,3195.0,99.84
2556,4748,GPU,8.0,300.0,628.0,28300.0,1305,NVIDIA,37740.0,37740.0,1179.0
2575,4767,GPU,12.0,50.0,200.0,4700.0,1035,NVIDIA,4915.0,2458.0,76.8
2580,4772,GPU,7.0,150.0,251.0,10300.0,1130,AMD,12780.0,6390.0,399.4
2583,4775,GPU,12.0,110.0,545.0,13600.0,1035,NVIDIA,18980.0,9492.0,296.6
2585,4777,GPU,7.0,15.0,156.0,9800.0,400,AMD,1792.0,896.0,56.0
2589,4781,GPU,12.0,175.0,232.0,5700.0,1469,AMD,7119.0,7119.0,445.0
2598,4790,GPU,14.0,35.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
2599,4791,GPU,14.0,50.0,132.0,3300.0,1557,NVIDIA,38.57,2468.0,77.14
2600,4792,GPU,12.0,250.0,754.0,18600.0,1350,NVIDIA,26900.0,13450.0,420.2
2604,4796,GPU,8.0,220.0,392.0,17400.0,1500,NVIDIA,20310.0,20310.0,317.4
2606,4798,GPU,12.0,18.0,200.0,4700.0,420,NVIDIA,5107.0,2554.0,79.8
2610,4802,GPU,14.0,35.0,123.0,3000.0,850,AMD,1858.0,1858.0,116.1
2611,4803,GPU,14.0,47.0,132.0,3300.0,1354,NVIDIA,22.27,1425.0,44.54
2638,4830,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1505.0,1505.0,94.08
2644,4836,GPU,14.0,300.0,495.0,12500.0,1400,AMD,24580.0,12290.0,768.0
2648,4840,GPU,12.0,65.0,445.0,10800.0,1005,NVIDIA,11980.0,5990.0,187.2
