,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,ProcessSize,TransistorSize,DieSize
27,CPU,22.0,15.0,118.0,1300.0,1800,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
28,CPU,14.0,65.0,192.0,4800.0,3200,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
29,CPU,32.0,35.0,228.0,1178.0,1900,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
30,CPU,130.0,97.0,237.0,286.0,3200,Intel,Slightly Compact(90-180nm),Approaching Subatomic(37-125nm),Most useable space
31,CPU,65.0,130.0,143.0,582.0,2666,Intel,Compact(45-90nm),Microminiature(125-410nm),Some useable space
32,CPU,32.0,65.0,228.0,1178.0,2100,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
33,CPU,90.0,89.0,220.0,227.0,2800,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
34,CPU,45.0,95.0,169.0,300.0,3000,AMD,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Considerable useable space
35,CPU,7.0,155.0,74.0,3800.0,3000,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Least useable space
36,CPU,7.0,45.0,156.0,9800.0,3300,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
37,CPU,7.0,180.0,74.0,3800.0,2500,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Least useable space
38,CPU,90.0,62.0,230.0,227.0,2600,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Most useable space
39,CPU,130.0,32.0,80.0,44.0,1400,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Least useable space
40,CPU,130.0,82.0,193.0,106.0,2200,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Considerable useable space
41,CPU,22.0,80.0,160.0,1400.0,2100,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
42,CPU,90.0,67.0,156.0,154.0,2200,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
43,CPU,32.0,4.0,66.0,176.0,1600,Intel,Extremely Compact(0-32nm),Approaching Subatomic(37-125nm),Least useable space
44,CPU,22.0,15.0,118.0,1400.0,1600,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
45,CPU,90.0,89.0,220.0,154.0,2000,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
46,CPU,22.0,60.0,160.0,1400.0,2400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
47,CPU,12.0,35.0,210.0,4940.0,2300,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
48,CPU,7.0,25.0,156.0,9800.0,2100,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
49,CPU,65.0,27.0,90.0,151.0,1866,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Least useable space
50,CPU,32.0,65.0,246.0,1178.0,3400,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
51,CPU,65.0,31.0,90.0,151.0,2166,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Least useable space
52,CPU,14.0,51.0,150.0,1400.0,3500,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
53,CPU,130.0,68.0,80.0,37.0,2133,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Least useable space
54,CPU,130.0,89.0,193.0,69.0,2000,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Considerable useable space
55,CPU,65.0,95.0,140.0,376.0,3400,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
56,CPU,32.0,35.0,131.0,504.0,1500,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
57,CPU,130.0,73.0,146.0,55.0,2700,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
58,CPU,90.0,62.0,230.0,227.0,2200,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Most useable space
59,CPU,90.0,35.0,103.0,81.0,1800,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
60,CPU,22.0,35.0,160.0,1480.0,2900,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
61,CPU,32.0,45.0,228.0,1178.0,1600,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
62,CPU,32.0,35.0,81.0,382.0,2400,Intel,Extremely Compact(0-32nm),Approaching Subatomic(37-125nm),Least useable space
63,CPU,22.0,54.0,177.0,1400.0,3300,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
64,CPU,22.0,15.0,118.0,1400.0,1700,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
65,CPU,65.0,65.0,111.0,167.0,2133,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
66,CPU,180.0,68.0,150.0,37.0,1600,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
67,CPU,130.0,31.0,80.0,44.0,1400,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Least useable space
68,CPU,65.0,95.0,285.0,450.0,2200,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
69,CPU,130.0,68.0,80.0,37.0,1800,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Least useable space
70,CPU,90.0,88.0,112.0,125.0,3200,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Some useable space
71,CPU,65.0,65.0,77.0,105.0,2400,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
72,CPU,7.0,25.0,156.0,9800.0,2100,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
73,CPU,12.0,250.0,213.0,19200.0,3000,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
74,CPU,45.0,7.0,66.0,123.0,1834,Intel,Highly Compact(32-45nm),Infinitesimal(1-37nm),Least useable space
75,CPU,12.0,65.0,192.0,4800.0,3400,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
76,CPU,65.0,65.0,285.0,450.0,2100,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
77,CPU,32.0,65.0,228.0,1178.0,2800,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
78,CPU,180.0,67.0,217.0,42.0,1800,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Considerable useable space
79,CPU,90.0,84.0,109.0,125.0,2660,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
80,CPU,22.0,45.0,160.0,1400.0,2800,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
81,CPU,130.0,110.0,146.0,55.0,2527,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
82,CPU,130.0,60.0,131.0,55.0,2400,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
83,CPU,90.0,22.0,125.0,114.0,1600,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Some useable space
84,CPU,45.0,2.0,65.0,140.0,1900,Intel,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Least useable space
85,CPU,22.0,15.0,118.0,1400.0,1600,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
86,CPU,45.0,65.0,82.0,228.0,3000,Intel,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Least useable space
87,CPU,22.0,35.0,177.0,1400.0,2700,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
88,CPU,28.0,35.0,246.0,1178.0,3000,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
89,CPU,130.0,32.0,131.0,55.0,2000,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
90,CPU,32.0,80.0,239.0,1170.0,2400,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
91,CPU,32.0,115.0,316.0,2400.0,2200,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
92,CPU,12.0,15.0,210.0,4940.0,2600,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
93,CPU,14.0,72.0,126.0,1400.0,3400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
94,CPU,130.0,32.0,144.0,69.0,1600,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
95,CPU,14.0,45.0,210.0,4950.0,3350,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
96,CPU,45.0,45.0,169.0,300.0,2500,AMD,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Considerable useable space
97,CPU,32.0,95.0,216.0,1160.0,2900,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Considerable useable space
98,CPU,32.0,125.0,315.0,1200.0,3500,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
99,CPU,32.0,140.0,315.0,2400.0,2800,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
100,CPU,32.0,17.0,131.0,504.0,1400,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
101,CPU,45.0,125.0,346.0,904.0,3300,AMD,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
102,CPU,22.0,54.0,177.0,1400.0,3400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
103,CPU,32.0,130.0,435.0,2270.0,3000,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
104,CPU,22.0,35.0,160.0,1480.0,2200,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
105,CPU,90.0,84.0,109.0,125.0,2933,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
106,CPU,130.0,82.0,193.0,106.0,1600,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Considerable useable space
107,CPU,90.0,135.0,213.0,200.0,2800,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
108,CPU,45.0,65.0,82.0,228.0,3067,Intel,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Least useable space
109,CPU,45.0,95.0,258.0,758.0,2600,AMD,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
110,CPU,130.0,62.0,80.0,37.0,1750,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Least useable space
111,CPU,22.0,54.0,177.0,1400.0,3300,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
112,CPU,14.0,180.0,213.0,4800.0,2200,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
113,CPU,22.0,140.0,160.0,1400.0,2200,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
114,CPU,65.0,125.0,285.0,450.0,2500,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
115,CPU,22.0,57.0,177.0,1400.0,3100,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
116,CPU,65.0,105.0,143.0,582.0,2400,Intel,Compact(45-90nm),Microminiature(125-410nm),Some useable space
117,CPU,90.0,125.0,220.0,243.0,2800,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
118,CPU,65.0,95.0,285.0,450.0,2700,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
119,CPU,22.0,45.0,160.0,1400.0,2700,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
120,CPU,22.0,35.0,177.0,1400.0,2900,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
121,CPU,45.0,9.0,87.0,176.0,1667,Intel,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Least useable space
122,CPU,65.0,35.0,143.0,293.0,2000,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
123,CPU,22.0,140.0,356.0,2600.0,3300,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
124,CPU,45.0,65.0,82.0,228.0,2600,Intel,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Least useable space
125,CPU,32.0,65.0,131.0,504.0,2700,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
126,CPU,90.0,84.0,109.0,125.0,3000,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
127,CPU,130.0,82.0,131.0,55.0,3200,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
128,CPU,45.0,45.0,169.0,300.0,2400,AMD,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Considerable useable space
129,CPU,90.0,62.0,103.0,81.0,1600,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
130,CPU,130.0,92.0,146.0,125.0,2000,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
131,CPU,45.0,95.0,346.0,904.0,2800,AMD,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
132,CPU,32.0,65.0,246.0,1178.0,3000,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
133,CPU,65.0,95.0,285.0,450.0,2300,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
134,CPU,22.0,15.0,118.0,1400.0,1400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
135,CPU,32.0,35.0,131.0,504.0,1700,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
136,CPU,32.0,130.0,239.0,1170.0,3200,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
137,CPU,22.0,37.0,118.0,1300.0,3000,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
138,CPU,32.0,140.0,316.0,2400.0,2600,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
139,CPU,65.0,86.0,81.0,188.0,3000,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Least useable space
140,CPU,32.0,40.0,239.0,1170.0,1866,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
141,CPU,45.0,95.0,258.0,758.0,2800,AMD,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
142,CPU,32.0,80.0,239.0,1170.0,1600,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
143,CPU,32.0,17.0,131.0,504.0,1500,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
144,CPU,32.0,45.0,228.0,1178.0,2000,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
145,CPU,14.0,72.0,126.0,1400.0,3400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
146,CPU,45.0,95.0,258.0,758.0,2800,AMD,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
147,CPU,45.0,65.0,117.0,410.0,3000,AMD,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Some useable space
148,CPU,130.0,89.0,193.0,106.0,2200,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Considerable useable space
149,CPU,65.0,65.0,285.0,450.0,2000,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
150,CPU,32.0,35.0,131.0,504.0,2400,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
151,CPU,45.0,95.0,169.0,300.0,2900,AMD,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Considerable useable space
152,CPU,32.0,35.0,131.0,504.0,1600,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
153,CPU,28.0,35.0,246.0,1178.0,3100,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
154,CPU,65.0,65.0,143.0,291.0,2667,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
155,CPU,32.0,130.0,239.0,1170.0,3466,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
156,CPU,65.0,65.0,111.0,167.0,1800,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
157,CPU,130.0,70.0,131.0,55.0,2800,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
158,CPU,14.0,95.0,192.0,4800.0,3400,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
159,CPU,32.0,100.0,228.0,1178.0,2600,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
160,CPU,14.0,15.0,210.0,4950.0,2000,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
161,CPU,90.0,84.0,135.0,169.0,2800,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
162,CPU,90.0,45.0,3.0,154.0,2600,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Least useable space
163,CPU,65.0,27.0,90.0,151.0,1500,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Least useable space
164,CPU,130.0,89.0,144.0,69.0,2400,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
165,CPU,90.0,135.0,213.0,200.0,3000,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
166,CPU,130.0,110.0,146.0,55.0,2793,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
167,CPU,45.0,80.0,258.0,758.0,3200,AMD,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
168,CPU,22.0,54.0,177.0,1400.0,2500,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
169,CPU,7.0,180.0,74.0,3800.0,2800,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Least useable space
170,CPU,180.0,69.0,217.0,42.0,1900,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Considerable useable space
171,CPU,32.0,140.0,316.0,2400.0,2700,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
172,CPU,32.0,95.0,315.0,1200.0,3500,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
173,CPU,32.0,65.0,228.0,1178.0,2700,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
174,CPU,90.0,62.0,103.0,81.0,2200,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
175,CPU,22.0,17.0,118.0,1400.0,1800,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
176,CPU,45.0,95.0,82.0,456.0,2700,Intel,Highly Compact(32-45nm),Microminiature(125-410nm),Least useable space
177,CPU,32.0,130.0,513.0,2600.0,2400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
178,CPU,90.0,65.0,220.0,154.0,2200,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
179,CPU,32.0,95.0,315.0,1200.0,3100,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
180,CPU,45.0,130.0,263.0,731.0,3200,Intel,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
181,CPU,65.0,45.0,126.0,154.0,2300,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
182,CPU,45.0,125.0,258.0,758.0,2800,AMD,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
183,CPU,90.0,62.0,84.0,63.0,1400,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
184,CPU,90.0,62.0,84.0,63.0,2000,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
185,CPU,130.0,89.0,193.0,106.0,2400,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Considerable useable space
186,CPU,90.0,135.0,213.0,200.0,2833,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
187,CPU,32.0,45.0,216.0,1160.0,2500,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Considerable useable space
188,CPU,130.0,66.0,131.0,55.0,2400,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
189,CPU,7.0,25.0,156.0,9800.0,1800,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
190,CPU,32.0,65.0,315.0,1200.0,2600,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
191,CPU,65.0,95.0,285.0,450.0,2400,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
192,CPU,14.0,65.0,192.0,4800.0,3500,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
193,CPU,90.0,110.0,199.0,233.0,2200,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
194,CPU,32.0,35.0,246.0,1303.0,2500,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
195,CPU,32.0,73.0,81.0,382.0,3466,Intel,Extremely Compact(0-32nm),Approaching Subatomic(37-125nm),Least useable space
196,CPU,22.0,47.0,264.0,1400.0,2100,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
197,CPU,65.0,130.0,140.0,376.0,3200,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
198,CPU,90.0,25.0,125.0,114.0,2000,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Some useable space
199,CPU,22.0,37.0,118.0,1400.0,2600,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
200,CPU,22.0,45.0,160.0,1480.0,2400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
201,CPU,32.0,115.0,315.0,2400.0,2300,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
202,CPU,130.0,82.0,193.0,106.0,1800,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Considerable useable space
203,CPU,90.0,110.0,109.0,125.0,2400,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
204,CPU,22.0,115.0,160.0,1400.0,2400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
205,CPU,90.0,21.0,84.0,140.0,1600,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Least useable space
206,CPU,32.0,35.0,228.0,1178.0,2000,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
207,CPU,130.0,68.0,131.0,55.0,2800,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
208,CPU,45.0,45.0,117.0,410.0,3000,AMD,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Some useable space
209,CPU,65.0,89.0,126.0,154.0,3100,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
210,CPU,90.0,45.0,230.0,227.0,2400,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Most useable space
211,CPU,130.0,73.0,146.0,55.0,2400,Intel,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Some useable space
212,CPU,7.0,120.0,74.0,3800.0,3100,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Least useable space
213,CPU,45.0,65.0,117.0,410.0,2800,AMD,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Some useable space
214,CPU,32.0,95.0,315.0,1200.0,3100,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Most useable space
215,CPU,45.0,95.0,81.0,456.0,2666,Intel,Highly Compact(32-45nm),Microminiature(125-410nm),Least useable space
216,CPU,22.0,165.0,160.0,1400.0,2800,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
217,CPU,32.0,35.0,131.0,504.0,1800,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
218,CPU,14.0,51.0,150.0,1400.0,2800,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
219,CPU,32.0,65.0,131.0,504.0,2900,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
220,CPU,7.0,225.0,74.0,3800.0,2250,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Least useable space
221,CPU,22.0,47.0,177.0,1400.0,2800,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
222,CPU,45.0,65.0,107.0,410.0,3333,Intel,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Least useable space
